Backend	Mode	Receiver	# beams	Polarization	Bandwidth (MHz)	Number spectral windows	Min integ time	Switching mode	Additional Questions	Notes																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																															
VEGAS	Spectral Line	"{3,4,6,8,A,L,S,C,X}"	1	"{Dual, Full}"	"{1250,850,187.5,100}"	{1:8}	0.100	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
VEGAS	Spectral Line	"{KFPA,U,Q,W1,W2,W3,W4}"	1	"{Dual, Full}"	"{1250,850,187.5,100}"	"{1,2,3,4}"	0.100	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
VEGAS	Spectral Line	"{B1,B2,B3}"	1	Single	"{1250,850,187.5,100}"	{1:8}	0.100	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
VEGAS	Spectral Line	"{KFPA,U,Q,W1,W2,W3,W4}"	2	"{Dual, Full}"	"{1250,850,187.5,100}"	"{1,2,3,4}"	0.100	"{TP-PS, IFSW, OFSW,TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
VEGAS	Spectral Line	"{B1,B2,B3}"	2	Single	"{1250,850,187.5,100}"	"{1,2,3,4}"	0.100	"{TP-PS, IFSW, OFSW,TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
VEGAS	Spectral Line	KFPA	4	"{Dual, Full}"	"{1250,850,187.5,100}"	"{1,2}"	0.100	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
VEGAS	Spectral Line	KFPA	7	"{Dual, Full}"	"{1250,850,187.5,100}"	1	0.100	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																															
VEGAS	Spectral Line	"{3,4,6,8,A,L,S,C,X}"	1	"{Dual, Full}"	"{23.44,11.72}"	{1:64}	0.100	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
VEGAS	Spectral Line	"{KFPA,U,Q,W1,W2,W3,W4}"	1	"{Dual, Full}"	"{23.44,11.72}"	{1:32}	0.100	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
VEGAS	Spectral Line	"{B1,B2,B3}"	1	Single	"{23.44,11.72}"	{1:64}	0.100	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
VEGAS	Spectral Line	"{KFPA,U,Q,W1,W2,W3,W4}"	2	"{Dual, Full}"	"{23.44,11.72}"	{1:32}	0.100	"{TP-PS, IFSW, OFSW,TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
VEGAS	Spectral Line	"{B1,B2,B3}"	2	Single	"{23.44,11.72}"	{1:32}	0.100	"{TP-PS, IFSW, OFSW,TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
VEGAS	Spectral Line	KFPA	4	"{Dual, Full}"	"{23.44,11.72}"	{1:32}	0.100	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
VEGAS	Spectral Line	KFPA	7	"{Dual, Full}"	"{23.44,11.72}"	{1:8}	0.100	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																															
VEGAS	Continuum	"{3,4,6,8,A,L,S,C,X}"	1	"{Dual, Full}"	1250	{1:8}	0.001	TP-PS																																																																																																																																																																																																																																																							
VEGAS	Continuum	"{KFPA,U,Q,W1,W2,W3,W4}"	1	"{Dual, Full}"	1250	"{1,2,3,4}"	0.001	TP-PS																																																																																																																																																																																																																																																							
VEGAS	Continuum	"{B1,B2,B3}"	1	Single	1250	{1:8}	0.001	TP-PS																																																																																																																																																																																																																																																							
VEGAS	Continuum	"{KFPA,U,Q,W1,W2,W3,W4}"	2	"{Dual, Full}"	1250	"{1,2,3,4}"	0.001	"{TP-PS, TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
VEGAS	Continuum	"{B1,B2,B3}"	2	Single	1250	"{1,2,3,4}"	0.001	"{TP-PS, TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
VEGAS	Continuum	KFPA	4	"{Dual, Full}"	1250	"{1,2}"	0.001	TP-PS																																																																																																																																																																																																																																																							
VEGAS	Continuum	KFPA	7	"{Dual, Full}"	1250	1	0.001	TP-PS																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																															
VEGAS	Pulsar	"{3,4,6,8,A,L,S,C,X}"	1	"{Dual, Full}"	1250	{1:8}	0.001	TP																																																																																																																																																																																																																																																							
VEGAS	Pulsar	"{KFPA,U,Q,W1,W2,W3,W4}"	1	"{Dual, Full}"	1250	"{1,2,3,4}"	0.001	TP																																																																																																																																																																																																																																																							
VEGAS	Pulsar	"{B1,B2,B3}"	1	Single	1250	{1:8}	0.001	TP																																																																																																																																																																																																																																																							
VEGAS	Pulsar	"{KFPA,U,Q,W1,W2,W3,W4}"	2	"{Dual, Full}"	1250	"{1,2,3,4}"	0.001	TP																																																																																																																																																																																																																																																							
VEGAS	Pulsar	"{B1,B2,B3}"	2	Single	1250	"{1,2,3,4}"	0.001	TP																																																																																																																																																																																																																																																							
VEGAS	Pulsar	KFPA	4	"{Dual, Full}"	1250	"{1,2}"	0.001	TP																																																																																																																																																																																																																																																							
VEGAS	Pulsar	KFPA	7	"{Dual, Full}"	1250	1	0.001	TP																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																															
Mustang	Continuum	NA	64	NA	20000	1	NA	TP																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																															
CCB	Continuum	B	2	Single	3500	4	0.005	"{BSW, BSW-PS, BSW-NOD, BSW-SRN}"																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																															
DCR	Continuum	"{3,4,6,8,A}"	1	Dual	"{20,40,80,240}"	1	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	"{L,C,X,U}"	1	Dual	"{20,80,320,1280}"	1	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	U	2	Dual	"{20,80,320,1280}"	1	0.100	"{TP-PS, TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
DCR	Continuum	"{S,Q,W1,W2,W3,W4}"	1	Dual	"{80,320,1280}"	1	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	"{Q,W1,W2,W3,W4}"	2	Dual	"{80,320,1280}"	1	0.100	"{TP-PS, TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
DCR	Continuum	"{B1,B2,B3}"	1	Single	"{80,320,1280}"	1	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	"{B1,B2,B3}"	2	Single	"{80,320,1280}"	1	0.100	"{TP-PS, TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
DCR	Continuum	"{3,4,6,8,A,L,S,C,X,U,Q,W1,W2,W3,W4}"	1	Dual	"{200, 800}"	"{1, 2, 4}"	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	"{U,Q,W1,W2,W3,W4}"	2	Dual	"{200, 800}"	"{1, 2}"	0.100	"{TP-PS, TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
DCR	Continuum	"{B1,B2,B3}"	2	Single	"{200, 800}"	"{1, 2, 4}"	0.100	"{TP-PS, TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
DCR	Continuum	"{3,4,6,8,A,L,S,C,X}"	1	Dual	"{12.5, 50}"	"{1, 2, 4, 8}"	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	"{U,Q,W1,W2,W3,W4}"	1	Dual	"{12.5, 50}"	"{1, 2, 4}"	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	"{U,Q,W1,W2,W3,W4}"	2	Dual	"{12.5, 50}"	"{1, 2, 4}"	0.100	"{TP-PS, TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
DCR	Continuum	"{B1,B2,B3}"	2	Single	"{12.5, 50}"	"{1, 2, 4}"	0.100	"{TP-PS, TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
DCR	Continuum	KFPA	1	Dual	"{12.5,50,200,800}"	1	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	KFPA	2	Dual	"{12.5,50,200,800}"	1	0.100	"{TP-PS, TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																															
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,Q,W1,W2,W3,W4}"	1	"{Dual,  Cross_QU }"	40	1	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
