Backend	Mode	Receiver	# beams	Polarization	Bandwidth (MHz)	Number spectral windows	Min integ time	Switching mode	Additional Questions	Notes																																																																																																																																																																																																																																																					
Mustang	Continuum	MBA	64	Single	20000	1	0.001	TP																																																																																																																																																																																																																																																							
CCB	Continuum	B	2	Single	3500	4	0.005	"{BSW, BSW-PS, BSW-NOD, BSW-SRN}"																																																																																																																																																																																																																																																							
DCR	Continuum	"{3,4,6,8,A}"	1	Dual	"{20,40,80,240}"	1	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	"{L,C,X}"	1	Dual	"{20,80,320,1280}"	1	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	U	1	Dual	"{20,80,320,1280}"	1	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	U	2	Dual	"{20,80,320,1280}"	1	0.100	"{TP-PS, TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
DCR	Continuum	S 	1	Dual	"{80,320,1280}"	1	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	"{K1,K2,Q,W}"	1	Dual	"{80,320,1280}"	1	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	"{K1, K2, Q,W}"	2	Dual	"{80,320,1280}"	1	0.100	"{TP-PS, TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
DCR	Continuum	B	1	Single	"{80,320,1280}"	1	0.100	TP-PS		SC																																																																																																																																																																																																																																																					
DCR	Continuum	B	2	Single	"{80,320,1280}"	1	0.100	"{TP-PS, TP-NOD, TP-SRN}"		SC																																																																																																																																																																																																																																																					
DCR	Continuum	KFPA	1	Dual	"{12.5,50,200,800}"	1	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	KFPA	2	Dual	"{12.5,50,200,800}"	1	0.100	"{TP-PS, TP-NOD, TP-SRN}"		
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU }"	40	1	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
SP	Spectral Line	"{B1,B2,B3}"	1	Single	40	1	1.000	"{TP-PS, IFSW, OFSW}"	MSR	SC
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU }"	20	1	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU, Full }"	20	"{2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
SP	Spectral Line	"{B1,B2,B3}"	1	Single	20	1	1.000	"{TP-PS, IFSW, OFSW}"	MSR	SC
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU, Full }"	10	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
SP	Spectral Line	"{B1,B2,B3}"	1	Single	10	1	1.000	"{TP-PS, IFSW, OFSW}"	MSR	SC
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU, Full }"	5	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
SP	Spectral Line	"{B1,B2,B3}"	1	Single	5	1	1.000	"{TP-PS, IFSW, OFSW}"	MSR	SC
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU, Full }"	2.5	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
